,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movieId,tmdbId,link,ml_title,ml_genres,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt0040522,movie,Bicycle Thieves,Ladri di biciclette,0,1948,\N,89,Drama,8.3,133096,3089,5156,https://www.imdb.com/title/tt0040522/,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama,31897,Złodzieje rowerów,Ladri di biciclette,1948,0,7,Włochy,Dramat,2015-12-31,3.5,drama,0,-1.3000000000000007,8
tt0044081,movie,A Streetcar Named Desire,A Streetcar Named Desire,0,1951,\N,122,Drama,8.0,93635,1104,702,https://www.imdb.com/title/tt0044081/,"Streetcar Named Desire, A (1951)",Drama,11173,Tramwaj zwany pożądaniem,A Streetcar Named Desire,1951,0,4,USA,Dramat,2014-9-15,2.0,drama,0,-4.0,8
tt0049406,movie,The Killing,The Killing,0,1956,\N,84,"Crime,Drama,Film-Noir",8.0,75822,2726,247,https://www.imdb.com/title/tt0049406/,"Killing, The (1956)",Crime|Film-Noir,11904,Zabójstwo,The Killing,1956,0,5,USA,"Kryminał, Film-Noir",2013-12-11,2.5,"crime, film-noir",0,-3.0,8
tt0050083,movie,12 Angry Men,12 Angry Men,0,1957,\N,96,Drama,8.9,631627,1203,389,https://www.imdb.com/title/tt0050083/,12 Angry Men (1957),Drama,30701,Dwunastu gniewnych ludzi,12 Angry Men,1957,0,8,USA,Dramat sądowy,2014-11-11,4.0,dramat sądowy,0,-0.9000000000000004,9
tt0051459,movie,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,0,1958,\N,108,Drama,8.0,41946,971,261,https://www.imdb.com/title/tt0051459/,Cat on a Hot Tin Roof (1958),Drama,6857,"Kotka na gorącym, blaszanym dachu",Cat on a Hot Tin Roof,1958,0,6,USA,Dramat,2011-9-1,3.0,drama,0,-2.0,8
tt0053291,movie,Some Like It Hot,Some Like It Hot,0,1959,\N,121,"Comedy,Music,Romance",8.2,227643,910,239,https://www.imdb.com/title/tt0053291/,Some Like It Hot (1959),Comedy|Crime,30671,"Pół żartem, pół serio",Some Like It Hot,1959,0,9,USA,Komedia,2016-3-31,4.5,comedy,0,0.8000000000000007,8
tt0054215,movie,Psycho,Psycho,0,1960,\N,109,"Horror,Mystery,Thriller",8.5,558243,1219,539,https://www.imdb.com/title/tt0054215/,Psycho (1960),Crime|Horror,1321,Psychoza,Psycho,1960,0,7,USA,Thriller,2011-9-1,3.5,thriller,0,-1.5,8
tt0056592,movie,To Kill a Mockingbird,To Kill a Mockingbird,0,1962,\N,129,"Crime,Drama",8.3,279300,1207,595,https://www.imdb.com/title/tt0056592/,To Kill a Mockingbird (1962),Drama,11900,Zabić drozda,To Kill a Mockingbird,1962,0,6,USA,"Obyczajowy, Prawniczy, Dramat sądowy",2016-1-13,3.0,"drama, prawniczy, dramat sądowy",0,-2.3000000000000007,8
tt0059646,movie,Repulsion,Repulsion,0,1965,\N,105,"Drama,Horror,Thriller",7.7,45255,3075,11481,https://www.imdb.com/title/tt0059646/,Repulsion (1965),Drama|Horror,1103,Wstręt,Repulsion,1965,0,6,Wielka Brytania,"Dramat, Psychologiczny",2012-1-30,3.0,"drama, psychologiczny",0,-1.7000000000000002,8
tt0060390,movie,Fahrenheit 451,Fahrenheit 451,0,1966,\N,112,"Drama,Sci-Fi",7.2,39132,6305,1714,https://www.imdb.com/title/tt0060390/,Fahrenheit 451 (1966),Drama|Sci-Fi,1494,451 stopni Fahrenheita,Fahrenheit 451,1966,0,3,Wielka Brytania,"Dramat, Sci-Fi",2017-9-18,1.5,"drama, sci-fi",0,-4.2,7
tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,0,1968,\N,149,"Adventure,Sci-Fi",8.3,561230,924,62,https://www.imdb.com/title/tt0062622/,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,1458,2001: Odyseja kosmiczna,2001: A Space Odyssey,1968,0,9,"USA, Wielka Brytania",Sci-Fi,2019-2-2,4.5,sci-fi,0,0.6999999999999993,8
tt0063522,movie,Rosemary's Baby,Rosemary's Baby,0,1968,\N,137,"Drama,Horror",8.0,177496,2160,805,https://www.imdb.com/title/tt0063522/,Rosemary's Baby (1968),Drama|Horror|Thriller,1104,Dziecko Rosemary,Rosemary's Baby,1968,0,5,USA,"Horror, Psychologiczny",2014-5-9,2.5,"horror, psychologiczny",0,-3.0,8
tt0064276,movie,Easy Rider,Easy Rider,0,1969,\N,95,"Adventure,Drama",7.3,93134,3168,624,https://www.imdb.com/title/tt0064276/,Easy Rider (1969),Adventure|Drama,1018,Swobodny jeździec,Easy Rider,1969,0,8,USA,Dramat obyczajowy,2011-10-20,4.0,dramat obyczajowy,0,0.7000000000000002,7
tt0064665,movie,Midnight Cowboy,Midnight Cowboy,0,1969,\N,113,"Drama,Western",7.8,93858,1952,3116,https://www.imdb.com/title/tt0064665/,Midnight Cowboy (1969),Drama,8182,Nocny kowboj,Midnight Cowboy,1969,0,7,USA,Dramat,2015-2-14,3.5,drama,0,-0.7999999999999998,8
tt0065088,movie,"They Shoot Horses, Don't They?","They Shoot Horses, Don't They?",0,1969,\N,129,Drama,7.9,15147,3011,28145,https://www.imdb.com/title/tt0065088/,"They Shoot Horses, Don't They? (1969)",Drama,32735,Czyż nie dobija się koni?,"They Shoot Horses, Don't They?",1969,0,6,USA,Dramat,2011-10-19,3.0,drama,0,-1.9000000000000004,8
